id,product_uid,missing_query_terms,query_root_in_desc,query_compound_in_desc,query_other_in_desc,total_query_root,total_query_compound,total_query_other,query_root_also_root_in_desc
210,100037,['bag'],0,1,0,1,1,0,0
214,100038,"['driver', 'drill']",1,1,1,1,3,1,0
215,100038,[],1,1,0,1,1,0,0
223,100039,['pellet'],1,0,0,1,1,0,0
226,100039,[],1,0,2,1,0,2,0
227,100039,['mi'],1,0,1,1,0,2,0
233,100039,['ventless'],1,1,0,1,1,1,0
241,100042,[],1,2,0,1,2,0,0
245,100042,['insulated'],1,0,3,1,0,4,0
255,100045,[],1,0,0,1,0,0,0
257,100046,[],1,0,1,1,0,1,0
259,100046,['metal'],1,0,1,1,0,2,0
261,100046,['rivets'],0,1,2,1,1,2,0
266,100046,[],1,0,0,1,0,0,0
270,100046,['wire'],1,0,3,1,0,4,0
272,100047,"['bolt', '1/2', 'by']",0,0,2,1,0,4,0
275,100047,[],1,1,0,1,1,0,0
276,100047,[],1,1,0,1,1,0,0
284,100049,[],1,1,1,1,1,1,0
290,100050,[],1,1,0,1,1,0,0
293,100051,['outdoorlounge'],0,0,1,1,0,1,0
294,100051,[],1,0,0,1,0,0,0
297,100051,['outdoorfurniture'],0,0,0,1,0,0,0
305,100053,['wiremesh'],0,0,0,1,0,0,0
314,100054,['front'],1,0,0,1,0,1,0
318,100054,['prehung'],0,0,0,1,0,0,0
319,100054,[],0,0,0,0,0,0,0
323,100055,['kingsley'],1,1,0,1,2,0,0
327,100055,['sink'],1,1,0,1,2,0,0
331,100055,"['pricepfister', 'g135']",0,2,0,1,2,1,0
334,100055,['soap'],1,0,0,1,1,0,0
335,100055,['soap'],1,1,0,1,2,0,0
340,100056,"['roof', 'melter']",0,0,0,1,1,0,0
341,100057,[],1,0,3,1,0,3,0
343,100057,[],1,1,0,1,1,0,0
346,100057,['7-3'],0,0,0,1,0,0,0
347,100057,['r'],0,0,1,1,0,1,0
350,100057,['r19'],1,0,0,1,1,0,0
351,100058,"['battery', 'lanterns']",0,0,0,1,1,0,0
354,100058,"['ceiling', 'light', 'battery', 'remote']",0,0,2,1,0,5,0
355,100058,['light'],0,1,0,1,1,0,0
359,100059,['pots'],0,0,1,1,0,1,0
361,100060,['5x5'],1,0,0,1,0,1,0
363,100060,[],1,1,0,1,1,0,0
365,100060,[],1,0,0,1,0,0,0
373,100063,[],1,0,0,1,0,0,0
374,100063,['led'],0,0,1,1,0,1,0
375,100063,"['led', 'strip']",1,0,0,1,1,1,0
385,100064,"['tiles', '12*12']",0,0,0,1,1,0,0
389,100065,"['10', 'rough']",0,1,1,1,1,3,0
397,100065,"['delta', 'canister', '17']",0,0,0,1,1,1,0
400,100065,[],1,0,0,1,0,0,0
401,100065,[],1,0,1,1,0,1,0
402,100065,"['high', 'efficiency', 'fill', 'valve']",0,1,0,1,3,1,0
403,100065,"['tiolet', 'lid']",0,1,0,1,2,0,0
407,100065,['handicap'],1,0,0,1,1,0,0
408,100065,['handycap'],1,0,0,1,1,0,0
411,100065,"['high', 'boy']",1,0,0,1,0,2,0
413,100065,"['kohler', 'rosario', 'parts']",0,1,0,1,3,0,0
418,100065,[],1,1,0,1,1,0,0
421,100065,['kit'],0,1,1,1,1,1,0
422,100065,[],1,0,0,1,0,0,0
440,100068,"['60', 'gallon']",1,2,0,1,3,1,0
444,100068,[],1,2,0,1,2,0,0
445,100068,[],1,1,0,1,1,0,0
446,100068,[],1,2,1,1,2,1,0
447,100068,[],1,2,1,1,2,1,0
452,100068,['prog40'],1,2,0,1,2,1,0
454,100068,[],1,2,0,1,2,0,0
455,100068,['plug'],0,2,0,1,2,0,0
456,100068,[],1,1,0,1,1,0,0
458,100068,['certified'],0,1,1,1,1,1,0
459,100068,['pans'],0,2,0,1,2,0,0
461,100069,[],1,0,0,1,0,0,0
468,100070,[],1,0,2,1,0,2,0
469,100070,[],1,1,1,1,1,1,0
470,100070,['bar'],1,2,1,1,3,1,0
473,100070,['undercounter'],1,0,0,1,1,0,0
475,100071,['exterior'],0,0,1,1,0,1,0
476,100071,[],1,0,1,1,0,1,0
478,100071,['prehung'],1,1,0,1,2,0,0
479,100071,['railings'],0,2,0,1,2,0,0
480,100072,"['3', 'blue', 'masking']",1,0,0,1,1,2,0
481,100072,['masking'],1,0,0,1,1,0,0
485,100074,['4x6'],0,0,0,1,0,0,0
491,100076,['fence'],1,0,1,1,1,1,0
492,100077,"['1/2', 'x', '5', 'nipple']",0,1,1,1,1,4,0
497,100077,['galvanized'],1,1,0,1,1,1,0
500,100078,['9x12'],1,1,0,1,1,1,0
501,100079,['dishwasher'],0,0,1,1,0,2,0
508,100081,"[""30'"", 'x', '60', ""'molded"", 'one', 'acrylic', 'shower']",0,1,0,1,2,5,0
511,100081,"['one', 'showers']",0,1,0,1,1,1,0
516,100082,[],1,0,1,1,0,1,0
517,100083,['window'],0,1,0,1,1,0,0
524,100086,['editing'],0,1,1,1,1,1,0
533,100086,[],1,1,0,1,1,0,0
536,100087,"['car', 'ends']",0,0,1,1,1,1,0
542,100088,"['plexiglas', ""18'"", 'x', ""24'""]",0,0,0,1,0,3,0
544,100089,[],0,0,0,0,0,0,0
549,100090,['a/c'],1,1,0,1,2,0,0
551,100090,['/heaterconditioner'],1,1,0,1,1,1,0
557,100090,['a/c'],1,0,1,1,0,2,0
559,100090,"['spliter', 'ac']",1,0,0,1,2,0,0
562,100090,[],1,2,0,1,2,0,0
563,100090,[],1,3,0,1,3,0,0
568,100092,"['berh', 'over']",1,0,0,1,1,1,0
571,100092,['over'],1,0,0,1,0,1,0
572,100092,['over'],1,0,1,1,0,2,0
573,100092,['deckpaint'],0,0,0,1,0,0,0
576,100092,[],1,0,1,1,0,1,0
581,100093,[],1,0,1,1,0,1,0
582,100093,['stone'],1,1,0,1,2,0,0
583,100093,['pneumatic'],1,1,1,1,1,2,0
584,100093,[],1,1,1,1,1,1,0
585,100094,[],1,1,1,1,1,1,0
591,100094,['trailer'],0,2,0,1,2,0,0
593,100094,['toro'],1,0,2,1,1,2,0
595,100095,[],1,1,0,1,1,0,0
600,100095,[],1,0,1,1,0,1,0
605,100096,"['molding', 'boundle']",0,1,1,1,2,1,0
606,100096,"['crown', 'molding']",1,0,0,1,1,1,0
611,100096,['wood'],0,1,0,1,1,0,0
619,100097,['led'],0,0,3,1,0,3,0
626,100098,"['moses', 'a', 'cradle']",0,1,1,1,1,3,0
630,100100,[],1,0,1,1,0,1,0
634,100101,"['intertape', 'duct', '3pk']",0,1,0,1,3,0,0
635,100101,[],1,1,0,1,1,0,0
636,100102,"['1', 'black', 'self']",1,0,1,1,0,4,0
637,100102,"['1', 'infloor', 'flange']",0,0,0,1,0,2,0
640,100104,"['10', 'sping', 'rod']",0,1,0,1,2,1,0
642,100104,['clear'],1,3,0,1,3,1,1
643,100104,[],1,0,0,1,0,0,0
644,100105,[],1,2,0,1,2,0,0
646,100105,"['desalt', '18']",1,0,0,1,1,1,0
652,100105,"['ion', 'fuego']",1,2,0,1,4,0,0
653,100106,['chipper'],0,0,0,1,0,0,0
659,100108,['bidet'],0,0,0,1,0,0,0
660,100109,['shark'],1,0,0,1,1,0,0
661,100109,['shark'],1,0,0,1,1,0,0
662,100110,"['it', 'products']",1,0,1,1,0,3,0
663,100110,[],1,0,1,1,0,1,0
666,100110,[],1,0,1,1,0,1,0
668,100110,['trimmers'],0,0,0,1,0,0,0
669,100110,[],1,1,0,1,1,0,0
670,100111,['repair'],1,1,0,1,2,0,0
671,100111,['repir'],1,1,0,1,2,0,0
674,100112,[],1,1,0,1,1,0,0
677,100113,['under'],0,1,1,1,1,1,0
679,100114,[],1,1,0,1,1,0,0
680,100115,"['andersen', 'right']",1,1,3,1,1,5,0
682,100115,[],1,0,1,1,0,1,0
686,100116,['ac'],1,0,2,1,0,3,0
687,100116,[],1,1,1,1,1,1,0
688,100117,['computer'],1,0,0,1,1,0,0
690,100118,['tree'],1,0,0,1,1,0,0
691,100119,['pack'],0,2,1,1,2,1,0
696,100119,"['roller', 'inserts']",0,1,0,1,2,0,0
700,100120,['hand'],1,0,0,1,1,0,0
712,100124,[],1,1,0,1,1,0,0
713,100125,[],1,1,0,1,1,0,0
715,100125,[],1,1,0,1,1,0,0
718,100125,['sink'],1,1,0,1,2,0,0
722,100125,['g135'],0,2,1,1,2,1,0
726,100126,[],1,1,1,1,1,1,0
731,100127,[],1,1,0,1,1,0,0
734,100128,"['garage', 'chair', 'organizer']",0,0,0,1,2,0,0
737,100128,[],1,0,0,1,0,0,0
739,100128,[],1,1,0,1,1,0,0
740,100128,[],1,1,0,1,1,0,0
742,100129,[],1,1,0,1,1,0,0
743,100129,[],1,0,0,1,0,0,0
745,100130,['killer'],0,1,0,1,1,0,0
748,100131,['gal'],1,0,1,1,1,1,0
749,100131,['5gal'],1,0,0,1,0,1,0
751,100131,['college'],1,1,0,1,2,0,0
753,100131,"['paint', 'pails']",0,0,0,1,1,0,0
756,100132,[],1,0,0,1,0,0,0
758,100133,['2*3'],1,0,0,1,0,1,0
759,100133,"['2x4', 'sruds']",0,0,0,1,0,1,0
760,100133,['2x4'],1,0,0,1,0,1,0
763,100134,['frostking'],0,2,1,1,2,1,0
764,100134,"['plastic', 'covers']",0,0,0,1,1,0,0
765,100134,['plastic'],1,0,0,1,0,1,0
771,100134,"['removable', 'weather', 'strip']",0,1,0,1,2,1,0
773,100134,"['wrap', 'around', 'plastic', 'light', 'covers']",0,0,0,1,0,4,0
778,100135,"['trap', 'moisture']",1,1,0,1,3,0,0
784,100138,[],0,1,2,1,1,2,0
787,100138,[],1,2,0,1,2,0,0
790,100138,['fixture'],0,1,0,1,1,0,0
791,100138,['ballet'],0,1,1,1,1,2,0
800,100138,[],1,0,1,1,0,1,0
801,100138,['violet'],1,0,1,1,0,2,0
811,100140,['electic'],0,1,1,1,1,1,0
812,100140,['lawnmowers'],0,0,0,1,0,0,0
817,100141,[],0,0,0,0,0,0,0
818,100141,[],0,0,0,0,0,0,0
819,100141,['pantry'],0,0,0,1,0,0,0
824,100141,[],1,1,0,1,1,0,0
826,100141,['white'],1,0,0,1,0,1,0
828,100143,['24'],1,1,1,1,1,2,0
831,100143,[],1,1,0,1,1,0,0
832,100143,[],1,1,0,1,1,0,0
837,100143,['stove'],0,2,1,1,2,1,0
843,100144,[],1,2,0,1,2,0,1
844,100144,[],1,2,0,1,2,0,1
847,100145,['4*8'],1,1,0,1,1,1,0
852,100146,"['6x6', 'p', 'tile']",0,1,0,1,3,0,0
857,100146,['tile'],1,1,2,1,2,2,0
862,100148,[],1,2,0,1,2,0,0
867,100149,"['funnel', '6', 'inch']",0,0,0,1,0,2,0
868,100149,['greecianmarble'],1,1,0,1,1,1,0
869,100149,['compound'],1,1,1,1,2,1,0
872,100149,"['lunada', 'bay', ""3'"", ""6'""]",1,1,2,1,3,4,0
876,100149,['rustic'],1,0,0,1,0,1,0
878,100149,[],1,3,0,1,3,0,0
881,100149,['sealer'],0,1,1,1,1,1,0
882,100149,['6x24'],1,2,0,1,2,1,0
885,100149,[],1,0,1,1,0,1,0
886,100149,"['towel', 'rings', 'like']",0,0,3,1,1,4,0
893,100150,['4x4'],1,1,0,1,1,1,0
894,100150,"['4x4', 'lumber']",0,0,0,1,0,1,0
895,100150,"['4x4', 'lumber', 'not']",1,0,0,1,0,3,0
898,100150,[],1,0,0,1,0,0,0
899,100150,[],1,0,4,1,0,4,0
902,100151,[],1,2,0,1,2,0,0
908,100152,[],1,0,0,1,0,0,0
909,100152,['battery72517063'],0,0,0,1,0,0,0
910,100152,[],1,1,0,1,1,0,0
912,100152,"['leaf', 'broom']",1,0,0,1,1,1,0
918,100152,[],1,1,0,1,1,0,0
922,100153,"['3', 'way']",0,0,0,1,0,1,0
923,100153,"['3', 'way', 'toggle']",1,0,0,1,0,3,0
928,100153,"['three', 'wayy']",0,0,0,1,0,1,0
929,100154,"['dual', 'ducts']",0,1,0,1,1,1,0
934,100154,[],1,1,1,1,1,1,0
940,100155,['6ft'],1,2,0,1,2,1,0
944,100157,"['hedge', 'shears']",0,0,0,1,0,1,0
954,100158,"['retro', 'combos']",0,1,1,1,1,2,0
958,100158,['combo'],0,1,1,1,1,1,0
962,100158,['toilet'],1,0,0,1,1,0,0
963,100158,"['westminster', 'combo']",0,0,1,1,0,2,0
969,100160,[],1,2,0,1,2,0,0
974,100161,['omnifilter'],0,0,0,1,0,0,0
978,100161,[],1,1,0,1,1,0,0
984,100163,['lenox'],1,1,0,1,2,0,0
991,100165,[],1,0,0,1,0,0,0
1000,100165,['wooden'],1,0,0,1,0,1,0
1001,100166,[],1,0,0,1,0,0,0
1004,100166,[],1,0,0,1,0,0,0
1007,100167,[],1,0,1,1,0,1,0
1008,100167,['exterior'],1,0,1,1,0,2,0
1019,100170,['kerosene'],1,0,0,1,1,0,0
1020,100170,['lp'],1,1,0,1,2,0,0
1022,100170,[],1,1,1,1,1,1,0
1026,100170,['thin'],1,1,0,1,1,1,0
1028,100171,[],1,0,0,1,0,0,0
1031,100172,['kitchen'],0,0,1,1,1,1,0
1038,100173,[],1,2,0,1,2,0,0
1040,100174,"['foil', 'board']",0,0,0,1,1,0,0
1051,100176,[],1,0,0,1,0,0,0
1053,100177,[],1,1,1,1,1,1,0
1056,100178,[],0,0,0,0,0,0,0
1060,100179,[],1,1,1,1,1,1,0
1062,100179,[],1,0,1,1,0,1,0
1065,100180,"['for', 'doors']",1,0,1,1,0,3,0
1068,100180,['windos'],1,0,1,1,1,1,0
1072,100181,['rack'],0,1,0,1,1,0,0
1073,100181,[],1,1,0,1,1,0,0
1074,100181,['white'],1,1,0,1,2,0,0
1076,100182,[],0,0,0,0,0,0,0
1080,100184,['bathrooms'],0,0,0,1,0,0,0
1081,100184,[],1,0,0,1,0,0,0
1083,100184,"['main', 'drain']",1,0,0,1,1,1,0
1084,100184,[],1,0,0,1,0,0,0
1086,100184,"['&', 'spray', 'refinishing', 'kit']",1,0,2,1,0,6,0
1090,100185,[],1,1,0,1,1,0,0
1095,100188,"['chicken', 'wire']",0,0,0,1,1,0,0
1097,100189,"['closet', '100']",0,1,0,1,1,2,0
1098,100189,['pantry'],0,1,0,1,1,0,0
1101,100189,"['closetmaid', 'pantry']",0,0,0,1,1,0,0
1103,100189,[],1,0,3,1,0,3,0
1104,100189,"['kitchen', 'cupboards']",1,0,0,1,1,1,0
1107,100189,[],1,1,0,1,1,0,0
1108,100189,"['wardrobe', 'closet', 'material']",0,0,0,1,2,0,0
1116,100191,[],1,1,0,1,1,0,0
1121,100193,[],1,0,4,1,0,4,0
1128,100193,['front'],1,0,0,1,1,0,0
1129,100193,['front'],1,0,0,1,0,1,0
1132,100193,"['louvre', 'inch']",1,0,1,1,1,2,0
1134,100193,['core'],1,1,3,1,2,3,0
1135,100193,['42x80'],1,0,1,1,0,2,0
1138,100194,"['20v', 'kombo']",0,0,0,1,0,1,0
1142,100194,['20v'],0,0,0,1,0,0,0
1145,100194,['7.2volt'],1,0,0,1,0,1,0
1146,100194,[],1,1,0,1,1,0,0
1148,100194,['vaccum'],0,0,0,1,0,0,0
1151,100194,['20'],1,0,0,1,0,1,0
1155,100195,['metal'],0,1,0,1,1,0,0
1159,100196,['wa'],1,1,1,1,1,2,0
1164,100196,[],1,1,0,1,1,0,0
1165,100197,['aspiradora'],0,0,0,1,0,0,0
1168,100197,['batte'],0,2,0,1,2,0,0
1171,100197,"['riobi', 'vac', '9056']",0,1,0,1,2,1,0
1172,100197,[],1,0,0,1,0,0,0
1176,100197,"['yard', 'stock']",1,0,1,1,1,2,0
1177,100197,"['yardman', 'vac']",0,1,0,1,2,0,0
1180,100200,['chipper'],0,0,0,1,0,0,0
1185,100201,[],1,0,0,1,0,0,0
1191,100203,[],0,0,2,1,0,2,0
1192,100203,['backsplash'],0,1,1,1,1,1,0
1195,100203,['backsplash'],0,1,0,1,1,0,0
1196,100203,[],1,1,0,1,1,0,0
1205,100208,['tubing'],0,1,0,1,1,0,0
1206,100208,[],1,0,0,1,0,0,0
1208,100209,"['bathroom', 'knobs']",0,1,2,1,2,2,0
1212,100209,['draweer'],1,0,0,1,1,0,0
1215,100209,['knob'],0,0,0,1,0,0,0
1216,100209,['knobs'],0,0,2,1,0,2,0
1218,100210,['fiberglass'],1,0,0,1,1,0,0
1220,100210,"['fiberglass', 'kit']",0,1,0,1,2,0,0
1224,100211,[],1,0,0,1,0,0,0
1227,100212,[],1,0,1,1,0,1,0
1228,100213,"['bagged', 'cinder']",0,0,1,1,1,1,0
1230,100213,"['red', 'cypress']",1,0,0,1,1,1,0
1231,100213,['red'],1,0,0,1,0,1,0
1237,100216,[],1,1,0,1,1,0,0
1238,100216,[],1,2,0,1,2,0,0
1243,100217,[],1,2,0,1,2,0,0
1248,100218,['bentgrass'],1,1,0,1,2,0,0
1252,100218,[],1,1,0,1,1,0,0
1253,100218,"['kobalt', 'corded']",0,0,2,1,1,2,0
1257,100218,['lawnmowers'],0,0,0,1,0,0,0
1266,100221,['hindges'],0,0,0,1,0,0,0
1267,100222,['lathe'],0,0,0,1,0,0,0
1273,100224,['molding'],0,1,0,1,1,0,0
1275,100224,['hieght'],0,2,0,1,2,0,0
1276,100224,[],1,2,0,1,2,0,0
1279,100225,['2x4'],1,0,0,1,1,0,0
1287,100227,[],1,1,0,1,1,0,0
1289,100227,['block'],0,2,0,1,2,0,0
1291,100227,[],1,2,0,1,2,0,0
1296,100228,[],1,0,0,1,0,0,0
1300,100229,['clab'],0,0,0,1,0,0,0
1302,100229,[],1,1,0,1,1,0,0
1303,100230,[],1,0,0,1,0,0,0
1316,100232,['celling'],0,0,1,1,0,1,0
1317,100232,['remote'],1,0,1,1,0,2,0
1320,100232,[],1,2,0,1,2,0,0
1323,100233,['tent'],0,0,0,1,0,0,0
1326,100235,[],1,1,0,1,1,0,0
1335,100237,[],1,1,0,1,1,0,0
1338,100237,['7-3'],0,0,0,1,0,0,0
1340,100237,['r19'],1,0,0,1,1,0,0
1344,100239,['repair'],1,1,0,1,2,0,0
1345,100239,[],1,2,0,1,2,0,0
1347,100239,['paint'],0,2,0,1,2,0,0
1348,100239,[],1,1,0,1,1,0,0
1349,100239,"['repair', 'procelian']",0,2,0,1,3,0,0
1355,100241,[],1,0,0,1,0,0,0
1356,100241,[],1,1,0,1,1,0,0
1357,100241,"['tough', 'system', 'bin']",0,0,0,1,1,1,0
1359,100242,[],1,0,0,1,0,0,0
1364,100245,[],1,1,1,1,1,1,0
1366,100246,['5gallon'],1,1,0,1,1,1,0
1377,100248,"['1/4', 'wonderboard']",0,0,0,1,0,1,0
1387,100248,['tile'],0,0,0,1,0,0,0
1388,100248,"['zinc', 'plated', 'flatbraces']",0,0,0,1,0,2,0
1394,100249,['cieling'],0,0,0,1,0,0,0
1395,100249,['celing'],1,1,0,1,2,0,0
1397,100249,[],1,0,2,1,0,2,0
1399,100249,[],1,1,2,1,1,2,0
1401,100249,[],1,2,0,1,2,0,0
1403,100249,"['replacement', 'parts']",0,3,1,1,4,1,0
1405,100250,[],1,2,0,1,2,0,0
1408,100251,"['6in', '6', 'in.lumder']",0,0,1,1,1,3,0
1414,100252,[],1,0,0,1,0,0,0
1419,100253,[],1,1,0,1,1,0,0
1422,100254,['gilmore'],0,0,2,1,0,3,0
1427,100255,[],1,2,0,1,2,0,0
1431,100256,"['ply', '1/2']",0,0,0,1,0,1,0
1433,100256,"['lap', 'cemet']",1,1,0,1,2,1,0
1434,100256,[],1,0,1,1,0,1,0
1436,100256,"['tub', 'materials']",1,0,0,1,2,0,0
1439,100257,[],1,0,0,1,0,0,0
1443,100257,[],1,1,0,1,1,0,0
1444,100257,['board'],0,1,0,1,1,0,0
1449,100259,['black'],1,0,0,1,0,1,0
1453,100259,['cypress'],1,0,1,1,1,1,0
1454,100259,[],1,0,1,1,0,1,0
1458,100260,['molding'],0,0,1,1,0,1,0
1468,100263,['electric'],1,0,0,1,0,1,0
1471,100263,['gear'],0,1,1,1,1,1,0
1472,100263,[],1,0,0,1,0,0,0
1473,100263,['tree'],1,0,0,1,1,0,0
1479,100264,[],1,1,0,1,1,0,0
1481,100264,[],1,1,3,1,1,3,0
1483,100264,['frontload'],1,0,0,1,1,0,0
1486,100264,['stcking'],1,0,1,1,0,2,0
1487,100264,['washer/top'],1,1,0,1,2,0,0
1490,100264,['samsung'],1,2,0,1,3,0,0
1491,100264,"['samsung', '3.7']",1,2,0,1,3,1,0
1492,100264,"['samsung', 'pedestal']",0,1,0,1,2,0,0
1496,100264,[],0,1,1,1,1,1,0
1497,100264,[],1,1,1,1,1,1,0
1501,100264,"['whirlpool', '12', 'inch', 'pedestal']",1,0,0,1,1,3,0
1504,100265,[],1,0,0,1,0,0,0
1506,100265,['board'],0,2,0,1,2,0,0
1509,100265,"['isolation', 'foil']",0,0,0,1,1,0,0
1512,100265,['foil'],1,0,1,1,1,1,0
1528,100267,[],1,1,1,1,1,1,0
1538,100269,['bullnose'],1,0,0,1,1,0,0
1542,100270,['ajustable'],1,1,0,1,2,0,1
1546,100270,[],1,0,0,1,0,0,0
1548,100272,['2'],1,1,0,1,1,1,0
1554,100272,"['flush', 'hardwood', 'bifold']",0,0,0,1,0,2,0
1560,100272,"['interior', 'solid']",1,0,1,1,0,3,0
1561,100272,"['jeld', 'wen', 'lover']",0,1,0,1,3,1,0
1562,100272,"['jeld', 'wen', 'aurora', 'a5001']",0,0,0,1,3,0,0
1568,100272,['interior'],1,0,1,1,0,2,0
1569,100272,['entry'],1,1,1,1,2,1,0
1571,100272,['wooden'],1,0,0,1,0,1,0
1572,100273,['9x12'],1,1,0,1,1,1,0
1576,100274,[],1,0,0,1,0,0,0
1577,100274,[],1,0,0,1,0,0,0
1578,100274,['photoelectric/ion'],0,1,2,1,1,2,0
1587,100277,[],1,0,1,1,0,1,0
1588,100277,[],1,1,0,1,1,0,0
1593,100279,[],1,0,0,1,0,0,0
1595,100280,['60w'],1,0,0,1,1,0,0
1609,100282,"['ceiling', 'scraper']",0,0,0,1,1,0,0
1610,100282,"['garden', 'non']",1,1,0,1,3,0,0
1612,100282,"['powder', 'shooting', 'bottle']",0,2,0,1,4,0,0
1616,100282,['water'],0,0,0,1,0,0,0
1617,100282,['weeds'],1,0,0,1,0,1,0
1622,100283,[],1,0,0,1,0,0,0
1624,100283,"['indoor', '*', 'outdoor', ""21'"", 'x', ""15'""]",1,0,0,1,0,6,0
1627,100284,['generator'],0,1,0,1,1,0,0
1633,100285,['plastic'],1,0,0,1,1,0,0
1634,100285,[],1,2,0,1,2,0,0
1637,100286,[],1,1,0,1,1,0,0
1640,100286,['maximum'],1,0,0,1,0,1,0
1643,100286,[],1,0,1,1,0,1,0
1645,100287,"['hot-dipped', 'galvanized']",1,1,0,1,1,2,0
1647,100287,"['roll', 'lap', 'cemet']",0,1,0,1,2,1,0
1648,100287,"['rdge', 'flashing']",0,1,0,1,1,1,0
1653,100288,"['chalk', 'paint']",0,0,0,1,1,0,0
1654,100289,"['3-way', 'electrical', 'sockets']",0,0,0,1,0,2,0
1655,100289,['15'],1,0,3,1,0,4,0
1656,100289,"['dpdt', 'momentary', 'rocker', 'double']",1,0,1,1,1,4,0
1657,100289,['dual'],1,0,1,1,0,2,0
1661,100290,[],1,2,0,1,2,0,0
1664,100292,"['prime', 'line', 'emergensy', 'open']",0,1,0,1,2,2,0
1667,100292,"['parts', 'knobs']",0,1,1,1,2,1,0
1669,100293,[],1,0,0,1,0,0,0
1670,100294,['24'],0,1,1,1,1,2,0
1671,100294,"['24', 'inch']",1,0,0,1,1,1,0
1672,100294,"['24', 'inch']",1,0,0,1,1,1,0
1673,100294,['24in'],1,0,0,1,1,0,0
1675,100294,['25'],0,0,2,1,0,2,0
1677,100294,['18'],1,1,1,1,1,2,0
1681,100295,"['roybi', 'l18v']",0,0,0,1,1,0,0
1691,100297,"['desalt', '18']",1,0,0,1,1,1,0
1692,100297,[],1,1,0,1,1,0,0
1696,100297,"['18-volt', 'lithium-ion', 'hammerss']",0,1,0,1,2,1,0
1702,100299,[],1,1,0,1,1,0,0
1703,100299,['sunk'],0,0,1,1,0,1,0
1704,100299,['bathro'],1,0,0,1,1,0,0
1705,100299,"['bathroom', 'pedelal']",0,1,0,1,2,1,0
1713,100299,['bathroom'],1,0,1,1,1,1,0
1715,100299,"['under', 'the', 'bathroom']",1,0,0,1,0,3,0
1721,100302,[],1,0,0,1,0,0,0
1722,100303,['pole'],0,1,0,1,1,0,0
1724,100304,['34x34'],1,2,0,1,2,1,0
