id,product_uid,missing_query_terms,query_root_in_title,query_compound_in_title,query_other_in_title,total_query_root,total_query_compound,total_query_other,query_root_also_root_in_title
191,100033,['steel'],1,0,0,1,1,0,0
193,100033,['storage'],1,0,0,1,1,0,0
195,100034,"['mortar', 'tools']",0,0,0,1,1,0,0
201,100036,['boltless'],1,0,1,1,1,1,1
202,100036,['16'],1,1,4,1,1,6,0
203,100036,"['wire', 'shelf']",1,0,1,1,2,1,1
205,100036,['shelf'],1,0,0,1,1,0,0
210,100037,"['tool', 'bag']",0,0,0,1,1,0,0
214,100038,"['driver', 'drill', 'battery', 'powered']",0,1,0,1,3,1,0
215,100038,[],1,1,0,1,1,0,0
223,100039,['pellet'],1,0,0,1,1,0,0
226,100039,"['register', 'for']",0,0,1,1,0,2,0
227,100039,"['and', 'mi']",1,0,0,1,0,2,0
233,100039,['ventless'],1,1,0,1,1,1,0
241,100042,[],1,2,0,1,2,0,0
245,100042,['insulated'],1,0,3,1,0,4,1
255,100045,[],1,0,0,1,0,0,0
257,100046,[],1,0,1,1,0,1,0
259,100046,"['fece', 'posts', 'metal']",0,0,0,1,0,2,0
261,100046,"['pop', 'rivets']",0,0,2,1,1,2,0
266,100046,['post'],0,0,0,1,0,0,0
270,100046,"['wire', 'fencing', 'high']",0,0,2,1,0,4,0
272,100047,['by'],1,0,3,1,0,4,0
275,100047,[],1,1,0,1,1,0,1
276,100047,[],1,1,0,1,1,0,0
284,100049,['elastomeric'],1,1,0,1,1,1,0
290,100050,['outdoor'],1,0,0,1,1,0,0
293,100051,['outdoorlounge'],0,0,1,1,0,1,0
294,100051,[],1,0,0,1,0,0,0
297,100051,['outdoorfurniture'],0,0,0,1,0,0,0
305,100053,['wiremesh'],0,0,0,1,0,0,0
314,100054,[],1,0,1,1,0,1,1
318,100054,[],1,0,0,1,0,0,0
319,100054,[],0,0,0,0,0,0,0
323,100055,['kingsley'],1,1,0,1,2,0,1
327,100055,['sink'],1,1,0,1,2,0,1
331,100055,"['pricepfister', 'g135']",0,2,0,1,2,1,0
334,100055,[],1,1,0,1,1,0,0
335,100055,[],1,2,0,1,2,0,0
340,100056,"['roof', 'melter']",0,0,0,1,1,0,0
341,100057,['6'],1,0,2,1,0,3,0
343,100057,['fiberglass'],1,0,0,1,1,0,0
346,100057,['7-3'],0,0,0,1,0,0,0
347,100057,['r'],0,0,1,1,0,1,0
350,100057,['r19'],1,0,0,1,1,0,0
351,100058,['battery'],1,0,0,1,1,0,1
354,100058,"['ceiling', 'light', 'battery', 'powered', 'with', 'remote']",0,0,0,1,0,5,0
355,100058,['light'],0,1,0,1,1,0,0
359,100059,['planters'],1,0,0,1,0,1,1
361,100060,['5x5'],1,0,0,1,0,1,1
363,100060,['column'],1,0,0,1,1,0,1
365,100060,[],1,0,0,1,0,0,1
373,100063,[],1,0,0,1,0,0,1
374,100063,['led'],0,0,1,1,0,1,0
375,100063,"['led', 'strip']",1,0,0,1,1,1,1
385,100064,"['tiles', '12*12']",0,0,0,1,1,0,0
389,100065,"['10', 'rough', 'bowl']",0,0,1,1,1,3,0
397,100065,"['delta', 'canister', '17']",0,0,0,1,1,1,0
400,100065,[],1,0,0,1,0,0,1
401,100065,[],1,0,1,1,0,1,0
402,100065,"['fill', 'valve']",0,2,1,1,3,1,0
403,100065,"['tiolet', 'tank', 'lid']",0,0,0,1,2,0,0
407,100065,['handicap'],1,0,0,1,1,0,1
408,100065,['handycap'],1,0,0,1,1,0,1
411,100065,['boy'],1,0,1,1,0,2,1
413,100065,"['kohler', 'rosario', 'parts']",0,1,0,1,3,0,0
418,100065,['bowl'],0,1,0,1,1,0,0
421,100065,['kit'],0,1,1,1,1,1,0
422,100065,[],1,0,0,1,0,0,1
440,100068,"['60', 'gallon']",1,2,0,1,3,1,0
444,100068,[],1,2,0,1,2,0,1
445,100068,[],1,1,0,1,1,0,0
446,100068,"['hot', 'cost']",0,2,0,1,2,1,0
447,100068,['hot'],1,2,0,1,2,1,0
452,100068,['prog40'],1,2,0,1,2,1,1
454,100068,[],1,2,0,1,2,0,0
455,100068,['plug'],0,2,0,1,2,0,0
456,100068,[],1,1,0,1,1,0,1
458,100068,['certified'],0,1,1,1,1,1,0
459,100068,['pans'],0,2,0,1,2,0,0
461,100069,[],1,0,0,1,0,0,0
468,100070,[],1,0,2,1,0,2,1
469,100070,[],1,1,1,1,1,1,0
470,100070,"['counter', 'fluorescent']",1,1,1,1,3,1,0
473,100070,['undercounter'],1,0,0,1,1,0,0
475,100071,['exterior'],0,0,1,1,0,1,0
476,100071,['double'],1,0,0,1,0,1,0
478,100071,[],1,2,0,1,2,0,0
479,100071,['railings'],0,2,0,1,2,0,0
480,100072,['3'],1,1,1,1,1,2,0
481,100072,[],1,1,0,1,1,0,0
485,100074,['4x6'],0,0,0,1,0,0,0
491,100076,['treated'],1,1,0,1,1,1,1
492,100077,"['1/2', 'x', '5', 'pipe', 'nipple']",0,0,1,1,1,4,0
497,100077,"['galvanized', 'gas']",1,0,0,1,1,1,1
500,100078,['9x12'],1,1,0,1,1,1,1
501,100079,['dishwasher'],0,0,1,1,0,2,0
508,100081,"[""'molded"", 'one', 'piece', 'acrylic']",0,0,4,1,2,5,0
511,100081,"['one', 'piece']",1,0,0,1,1,1,0
516,100082,[],1,0,1,1,0,1,1
517,100083,"['basemetnt', 'window']",0,0,0,1,1,0,0
524,100086,['editing'],0,1,1,1,1,1,0
533,100086,[],1,1,0,1,1,0,0
536,100087,"['car', 'ends']",0,0,1,1,1,1,0
542,100088,['plexiglas'],1,0,2,1,0,3,0
544,100089,[],0,0,0,0,0,0,0
549,100090,"['a/c', 'unit']",0,1,0,1,2,0,0
551,100090,['/heaterconditioner'],1,1,0,1,1,1,0
557,100090,"['room', 'a/c', 'units']",0,0,0,1,0,2,0
559,100090,"['spliter', 'ac', 'unit']",0,0,0,1,2,0,0
562,100090,[],1,2,0,1,2,0,1
563,100090,['unit'],1,2,0,1,3,0,1
568,100092,"['berh', 'over']",1,0,0,1,1,1,0
571,100092,['over'],1,0,0,1,0,1,0
572,100092,"['over', 'paint']",1,0,0,1,0,2,0
573,100092,['deckpaint'],0,0,0,1,0,0,0
576,100092,[],1,0,1,1,0,1,0
581,100093,[],1,0,1,1,0,1,0
582,100093,['stone'],1,1,0,1,2,0,1
583,100093,['pneumatic'],1,1,1,1,1,2,1
584,100093,[],1,1,1,1,1,1,1
585,100094,['thower'],0,1,1,1,1,1,0
591,100094,"['snowblower', 'trailer']",0,1,0,1,2,0,0
593,100094,['toro'],1,0,2,1,1,2,0
595,100095,['gridlee'],0,1,0,1,1,0,0
600,100095,[],1,0,1,1,0,1,1
605,100096,"['board', 'boundle']",0,2,0,1,2,1,0
606,100096,['crown'],1,1,0,1,1,1,0
611,100096,"['wall', 'wood']",0,0,0,1,1,0,0
619,100097,"['led', 'aluminum']",0,0,2,1,0,3,0
626,100098,"['moses', 'a', 'cradle']",0,1,1,1,1,3,0
630,100100,[],1,0,1,1,0,1,0
634,100101,"['duct', '3pk']",0,2,0,1,3,0,0
635,100101,[],1,1,0,1,1,0,0
636,100102,"['1', 'black', 'self', 'tapping']",1,0,0,1,0,4,0
637,100102,"['1', 'infloor']",1,0,0,1,0,2,1
640,100104,"['10', 'sping', 'rod']",0,1,0,1,2,1,0
642,100104,[],1,3,1,1,3,1,0
643,100104,[],1,0,0,1,0,0,0
644,100105,['powertool'],1,1,0,1,2,0,0
646,100105,"['desalt', '18']",1,0,0,1,1,1,0
652,100105,"['ion', 'batteries', 'fuego']",1,1,0,1,4,0,0
653,100106,['chipper'],0,0,0,1,0,0,0
659,100108,['bidet'],0,0,0,1,0,0,0
660,100109,[],1,1,0,1,1,0,1
661,100109,[],1,1,0,1,1,0,0
662,100110,"['it', 'products']",1,0,1,1,0,3,0
663,100110,[],1,0,1,1,0,1,1
666,100110,[],1,0,1,1,0,1,1
668,100110,['trimmers'],0,0,0,1,0,0,0
669,100110,['trimmer'],1,0,0,1,1,0,0
670,100111,['repair'],1,1,0,1,2,0,1
671,100111,['repir'],1,1,0,1,2,0,1
674,100112,"['carpet', 'cleaner']",0,0,0,1,1,0,0
677,100113,"['under', 'cabinet', 'lighting']",0,0,0,1,1,1,0
679,100114,[],1,1,0,1,1,0,1
680,100115,"['andersen', 'right', 'hand', 'with']",1,0,2,1,1,5,0
682,100115,['exterior'],0,0,1,1,0,1,0
686,100116,['ac'],1,0,2,1,0,3,0
687,100116,[],1,1,1,1,1,1,1
688,100117,['computer'],1,0,0,1,1,0,1
690,100118,['tree'],1,0,0,1,1,0,1
691,100119,['pack'],0,2,1,1,2,1,0
696,100119,"['roller', 'inserts']",0,1,0,1,2,0,0
700,100120,['hand'],1,0,0,1,1,0,1
712,100124,[],1,1,0,1,1,0,0
713,100125,['handles'],0,1,0,1,1,0,0
715,100125,[],1,1,0,1,1,0,1
718,100125,['sink'],1,1,0,1,2,0,1
722,100125,"['pricepfister', 'g135']",0,2,0,1,2,1,0
726,100126,[],1,1,1,1,1,1,0
731,100127,[],1,1,0,1,1,0,0
734,100128,"['garage', 'chair', 'organizer']",0,0,0,1,2,0,0
737,100128,['slatwall'],0,0,0,1,0,0,0
739,100128,['board'],0,1,0,1,1,0,0
740,100128,[],1,1,0,1,1,0,0
742,100129,['face'],1,0,0,1,1,0,0
743,100129,[],1,0,0,1,0,0,1
745,100130,['killer'],0,1,0,1,1,0,0
748,100131,"['5', 'gal', 'buckets']",0,0,0,1,1,1,0
749,100131,"['5gal', 'bucket']",0,0,0,1,0,1,0
751,100131,"['college', 'bucket']",0,1,0,1,2,0,0
753,100131,"['paint', 'pails']",0,0,0,1,1,0,0
756,100132,[],1,0,0,1,0,0,1
758,100133,['2*3'],1,0,0,1,0,1,1
759,100133,"['2x4', 'sruds']",0,0,0,1,0,1,0
760,100133,"['lumber', '2x4']",0,0,0,1,0,1,0
763,100134,"['frostking', 'film']",0,2,0,1,2,1,0
764,100134,"['plastic', 'covers']",0,0,0,1,1,0,0
765,100134,"['plastic', 'film']",0,0,0,1,0,1,0
771,100134,"['removable', 'weather', 'strip']",0,1,0,1,2,1,0
773,100134,"['wrap', 'around', 'plastic', 'light', 'covers']",0,0,0,1,0,4,0
778,100135,"['trap', 'moisture']",1,1,0,1,3,0,0
784,100138,[],0,1,2,1,1,2,0
787,100138,[],1,2,0,1,2,0,0
790,100138,['fixture'],0,1,0,1,1,0,0
791,100138,['ballet'],0,1,1,1,1,2,0
800,100138,[],1,0,1,1,0,1,0
801,100138,['violet'],1,0,1,1,0,2,0
811,100140,"['lawn', 'electic']",0,0,1,1,1,1,0
812,100140,['lawnmowers'],0,0,0,1,0,0,0
817,100141,[],0,0,0,0,0,0,0
818,100141,[],0,0,0,0,0,0,0
819,100141,['pantry'],0,0,0,1,0,0,0
824,100141,[],1,1,0,1,1,0,0
826,100141,[],1,0,1,1,0,1,0
828,100143,['24'],1,1,1,1,1,2,1
831,100143,[],1,1,0,1,1,0,1
832,100143,[],1,1,0,1,1,0,1
837,100143,['stove'],0,2,1,1,2,1,0
843,100144,['fiberglass'],1,1,0,1,2,0,1
844,100144,['fiberglass'],1,1,0,1,2,0,1
847,100145,['4*8'],1,1,0,1,1,1,1
852,100146,"['6x6', 'p']",1,1,0,1,3,0,0
857,100146,[],1,2,2,1,2,2,0
862,100148,[],1,2,0,1,2,0,0
867,100149,"['funnel', 'inch']",0,0,1,1,0,2,0
868,100149,['greecianmarble'],1,1,0,1,1,1,0
869,100149,"['join', 'compound']",0,1,1,1,2,1,0
872,100149,"['lunada', 'bay', ""3'"", ""6'""]",1,1,2,1,3,4,0
876,100149,['rustic'],1,0,0,1,0,1,0
878,100149,['contina'],1,2,0,1,3,0,0
881,100149,['sealer'],0,1,1,1,1,1,0
882,100149,['6x24'],1,2,0,1,2,1,0
885,100149,[],1,0,1,1,0,1,0
886,100149,"['towel', 'rings', 'that', 'look', 'like', 'wood']",0,0,0,1,1,4,0
893,100150,['4x4'],1,1,0,1,1,1,1
894,100150,"['4x4', 'lumber']",0,0,0,1,0,1,0
895,100150,"['4x4', 'lumber', 'not', 'treated']",0,0,0,1,0,3,0
898,100150,[],1,0,0,1,0,0,1
899,100150,"['pressure', 'treated', 'for']",0,0,2,1,0,4,0
902,100151,"['closet', 'fixture']",0,1,0,1,2,0,0
908,100152,[],1,0,0,1,0,0,0
909,100152,['battery72517063'],0,0,0,1,0,0,0
910,100152,"['lawn', 'mowers']",0,0,0,1,1,0,0
912,100152,"['foof', 'leaf', 'broom']",0,0,0,1,1,1,0
918,100152,"['lawn', 'tractor']",0,0,0,1,1,0,0
922,100153,"['3', 'way']",0,0,0,1,0,1,0
923,100153,"['3', 'way']",1,0,1,1,0,3,0
928,100153,"['three', 'wayy']",0,0,0,1,0,1,0
929,100154,"['dual', 'ducts']",0,1,0,1,1,1,0
934,100154,[],1,1,1,1,1,1,1
940,100155,['6ft'],1,2,0,1,2,1,0
944,100157,"['hedge', 'shears']",0,0,0,1,0,1,0
954,100158,['retro'],1,1,1,1,1,2,0
958,100158,[],1,1,1,1,1,1,0
962,100158,['toilet'],1,0,0,1,1,0,1
963,100158,['westminster'],1,0,1,1,0,2,0
969,100160,[],1,2,0,1,2,0,0
974,100161,['omnifilter'],0,0,0,1,0,0,0
978,100161,['softners'],0,1,0,1,1,0,0
984,100163,['lenox'],1,1,0,1,2,0,1
991,100165,[],1,0,0,1,0,0,0
1000,100165,['wooden'],1,0,0,1,0,1,0
1001,100166,['colosso'],0,0,0,1,0,0,0
1004,100166,[],1,0,0,1,0,0,0
1007,100167,[],1,0,1,1,0,1,0
1008,100167,['exterior'],1,0,1,1,0,2,0
1019,100170,['kerosene'],1,0,0,1,1,0,1
1020,100170,[],1,2,0,1,2,0,1
1022,100170,['tank'],0,1,1,1,1,1,0
1026,100170,"['thin', 'propane']",1,0,0,1,1,1,1
1028,100171,['respirator'],0,0,0,1,0,0,0
1031,100172,['kitchen'],0,0,1,1,1,1,0
1038,100173,['keg'],1,1,0,1,2,0,1
1040,100174,"['foil', 'board']",0,0,0,1,1,0,0
1051,100176,[],1,0,0,1,0,0,1
1053,100177,[],1,1,1,1,1,1,1
1056,100178,[],0,0,0,0,0,0,0
1060,100179,[],1,1,1,1,1,1,0
1062,100179,[],1,0,1,1,0,1,0
1065,100180,"['for', 'doors']",1,0,1,1,0,3,1
1068,100180,['windos'],1,0,1,1,1,1,1
1072,100181,['rack'],0,1,0,1,1,0,0
1073,100181,['storage'],1,0,0,1,1,0,1
1074,100181,[],1,2,0,1,2,0,1
1076,100182,[],0,0,0,0,0,0,0
1080,100184,['bathrooms'],0,0,0,1,0,0,0
1081,100184,[],1,0,0,1,0,0,0
1083,100184,['main'],1,1,0,1,1,1,0
1084,100184,['porcelain'],0,0,0,1,0,0,0
1086,100184,"['&', 'tile', 'spray', 'on', 'refinishing', 'kit']",1,0,0,1,0,6,0
1090,100185,['shelf'],1,0,0,1,1,0,0
1095,100188,"['chicken', 'wire']",0,0,0,1,1,0,0
1097,100189,"['closet', '100']",0,1,0,1,1,2,0
1098,100189,['pantry'],0,1,0,1,1,0,0
1101,100189,"['closetmaid', 'pantry']",0,0,0,1,1,0,0
1103,100189,['stock'],1,0,2,1,0,3,0
1104,100189,"['kitchen', 'cupboards', 'hinges']",0,0,0,1,1,1,0
1107,100189,['storage'],1,0,0,1,1,0,0
1108,100189,"['wardrobe', 'closet', 'material']",0,0,0,1,2,0,0
1116,100191,[],1,1,0,1,1,0,1
1121,100193,[],1,0,4,1,0,4,0
1128,100193,[],1,1,0,1,1,0,1
1129,100193,[],1,0,1,1,0,1,1
1132,100193,"['louvre', 'inch']",1,0,1,1,1,2,1
1134,100193,"['core', 'wooden', 'entry']",1,0,2,1,2,3,1
1135,100193,['42x80'],1,0,1,1,0,2,1
1138,100194,"['20v', 'kombo']",0,0,0,1,0,1,0
1142,100194,['20v'],0,0,0,1,0,0,0
1145,100194,['7.2volt'],1,0,0,1,0,1,0
1146,100194,['chargers'],0,1,0,1,1,0,0
1148,100194,['vaccum'],0,0,0,1,0,0,0
1151,100194,['20'],1,0,0,1,0,1,0
1155,100195,['metal'],0,1,0,1,1,0,0
1159,100196,"['for', 'hot', 'wa']",1,0,0,1,1,2,0
1164,100196,[],1,1,0,1,1,0,0
1165,100197,['aspiradora'],0,0,0,1,0,0,0
1168,100197,['batte'],0,2,0,1,2,0,0
1171,100197,"['riobi', 'vac', '9056']",0,1,0,1,2,1,0
1172,100197,[],1,0,0,1,0,0,0
1176,100197,"['yard', 'in', 'stock']",1,0,0,1,1,2,1
1177,100197,"['yardman', 'vac']",0,1,0,1,2,0,0
1180,100200,['chipper'],0,0,0,1,0,0,0
1185,100201,[],1,0,0,1,0,0,1
1191,100203,[],0,0,2,1,0,2,0
1192,100203,['backsplash'],0,1,1,1,1,1,0
1195,100203,['backsplash'],0,1,0,1,1,0,0
1196,100203,[],1,1,0,1,1,0,0
1205,100208,"['gas', 'tubing']",0,0,0,1,1,0,0
1206,100208,['home-flex'],0,0,0,1,0,0,0
1208,100209,"['bathroom', 'hardware', 'knobs', 'and']",0,0,1,1,2,2,0
1212,100209,['draweer'],1,0,0,1,1,0,1
1215,100209,['knob'],0,0,0,1,0,0,0
1216,100209,"['knobs', 'for', 'cabinet']",0,0,0,1,0,2,0
1218,100210,['fiberglass'],1,0,0,1,1,0,0
1220,100210,"['fiberglass', 'repair', 'kit']",0,0,0,1,2,0,0
1224,100211,[],1,0,0,1,0,0,1
1227,100212,"['door', 'trim']",0,0,0,1,0,1,0
1228,100213,"['bagged', 'cinder']",0,0,1,1,1,1,0
1230,100213,['cypress'],1,0,1,1,1,1,0
1231,100213,[],1,0,1,1,0,1,0
1237,100216,[],1,1,0,1,1,0,0
1238,100216,['chime'],0,2,0,1,2,0,0
1243,100217,[],1,2,0,1,2,0,0
1248,100218,['bentgrass'],1,1,0,1,2,0,1
1252,100218,[],1,1,0,1,1,0,1
1253,100218,"['kobalt', 'corded']",0,0,2,1,1,2,0
1257,100218,['lawnmowers'],0,0,0,1,0,0,0
1266,100221,['hindges'],0,0,0,1,0,0,0
1267,100222,[],1,0,0,1,0,0,0
1273,100224,[],1,1,0,1,1,0,0
1275,100224,['hieght'],0,2,0,1,2,0,0
1276,100224,[],1,2,0,1,2,0,0
1279,100225,"['2x4', 'board']",0,0,0,1,1,0,0
1287,100227,['fence'],1,0,0,1,1,0,0
1289,100227,['block'],0,2,0,1,2,0,0
1291,100227,"['wood', 'fence']",1,0,0,1,2,0,0
1296,100228,[],1,0,0,1,0,0,0
1300,100229,['clab'],0,0,0,1,0,0,0
1302,100229,['stones'],0,1,0,1,1,0,0
1303,100230,[],1,0,0,1,0,0,0
1316,100232,['light'],1,0,0,1,0,1,0
1317,100232,"['with', 'remote']",1,0,0,1,0,2,0
1320,100232,[],1,2,0,1,2,0,0
1323,100233,['tent'],0,0,0,1,0,0,0
1326,100235,['frame'],0,1,0,1,1,0,0
1335,100237,['fiberglass'],1,0,0,1,1,0,0
1338,100237,['7-3'],0,0,0,1,0,0,0
1340,100237,['r19'],1,0,0,1,1,0,0
1344,100239,"['fiberglass', 'repair']",1,0,0,1,2,0,0
1345,100239,"['fiberglass', 'repir']",1,0,0,1,2,0,0
1347,100239,['paint'],0,2,0,1,2,0,0
1348,100239,['epoxy'],0,1,0,1,1,0,0
1349,100239,"['repair', 'procelian']",0,2,0,1,3,0,0
1355,100241,['tools'],0,0,0,1,0,0,0
1356,100241,"['tool', 'box']",0,0,0,1,1,0,0
1357,100241,['bin'],0,1,1,1,1,1,0
1359,100242,['ladder'],0,0,0,1,0,0,0
1364,100245,['furniture'],1,1,0,1,1,1,0
1366,100246,['5gallon'],1,1,0,1,1,1,0
1377,100248,"['1/4', 'wonderboard']",0,0,0,1,0,1,0
1387,100248,['tile'],0,0,0,1,0,0,0
1388,100248,"['zinc', 'plated', 'flatbraces']",0,0,0,1,0,2,0
1394,100249,['cieling'],0,0,0,1,0,0,0
1395,100249,['control'],1,1,0,1,2,0,0
1397,100249,"['with', 'remote']",1,0,0,1,0,2,0
1399,100249,"['with', 'remote']",1,1,0,1,1,2,0
1401,100249,[],1,2,0,1,2,0,0
1403,100249,"['remote', 'control', 'replacement', 'parts']",0,2,0,1,4,1,0
1405,100250,['chair'],1,1,0,1,2,0,1
1408,100251,"['6in', 'by', 'in.lumder']",0,0,1,1,1,3,0
1414,100252,[],1,0,0,1,0,0,1
1419,100253,[],1,1,0,1,1,0,1
1422,100254,['gilmore'],0,0,2,1,0,3,0
1427,100255,[],1,2,0,1,2,0,0
1431,100256,"['ply', '1/2']",0,0,0,1,0,1,0
1433,100256,"['lap', 'cemet']",1,1,0,1,2,1,0
1434,100256,[],1,0,1,1,0,1,0
1436,100256,"['tub', 'materials', 'sheets']",0,0,0,1,2,0,0
1439,100257,[],1,0,0,1,0,0,0
1443,100257,[],1,1,0,1,1,0,1
1444,100257,['board'],0,1,0,1,1,0,0
1449,100259,['black'],1,0,0,1,0,1,1
1453,100259,"['cypress', 'mulch']",0,0,1,1,1,1,0
1454,100259,['mulch'],0,0,1,1,0,1,0
1458,100260,['molding'],0,0,1,1,0,1,0
1468,100263,[],1,0,1,1,0,1,0
1471,100263,['gear'],0,1,1,1,1,1,0
1472,100263,['pruners'],0,0,0,1,0,0,0
1473,100263,"['tree', 'pruner']",0,0,0,1,1,0,0
1479,100264,['dryer'],0,1,0,1,1,0,0
1481,100264,"['and', 'dryer']",1,1,1,1,1,3,1
1483,100264,['frontload'],1,0,0,1,1,0,1
1486,100264,"['stcking', 'kit']",0,0,1,1,0,2,0
1487,100264,['washer/top'],1,1,0,1,2,0,0
1490,100264,"['samsung', 'dryer']",0,2,0,1,3,0,0
1491,100264,"['samsung', '3.7']",1,2,0,1,3,1,1
1492,100264,"['samsung', 'pedestal']",0,1,0,1,2,0,0
1496,100264,['dryer'],0,1,0,1,1,1,0
1497,100264,"['dryer', 'sets']",0,1,0,1,1,1,0
1501,100264,"['whirlpool', '12', 'inch', 'pedestal']",1,0,0,1,1,3,1
1504,100265,[],1,0,0,1,0,0,0
1506,100265,"['foam', 'board']",0,1,0,1,2,0,0
1509,100265,"['isolation', 'foil']",0,0,0,1,1,0,0
1512,100265,"['reflective', 'foil']",1,0,0,1,1,1,1
1528,100267,"['dryer', 'sets']",0,1,0,1,1,1,0
1538,100269,[],1,1,0,1,1,0,0
1542,100270,"['ajustable', 'feet']",0,1,0,1,2,0,0
1546,100270,[],1,0,0,1,0,0,1
1548,100272,"['2', 'panel']",1,0,0,1,1,1,0
1554,100272,['bifold'],0,0,2,1,0,2,0
1560,100272,"['solid', 'core']",1,0,1,1,0,3,0
1561,100272,"['jeld', 'wen', 'lover']",0,1,0,1,3,1,0
1562,100272,"['jeld', 'wen', 'aurora', 'a5001']",0,0,0,1,3,0,0
1568,100272,[],1,0,2,1,0,2,0
1569,100272,['entry'],1,1,1,1,2,1,0
1571,100272,[],1,0,1,1,0,1,0
1572,100273,['9x12'],1,1,0,1,1,1,1
1576,100274,[],1,0,0,1,0,0,1
1577,100274,[],1,0,0,1,0,0,1
1578,100274,"['photoelectric/ion', 'with']",0,1,1,1,1,2,0
1587,100277,['saw'],0,0,1,1,0,1,0
1588,100277,['tree'],1,0,0,1,1,0,0
1593,100279,['ladder'],0,0,0,1,0,0,0
1595,100280,[],1,1,0,1,1,0,1
1609,100282,"['ceiling', 'scraper']",0,0,0,1,1,0,0
1610,100282,"['garden', 'non', 'pump']",0,1,0,1,3,0,0
1612,100282,"['powder', 'shooting', 'hand', 'pump', 'bottle']",0,0,0,1,4,0,0
1616,100282,['water'],0,0,0,1,0,0,0
1617,100282,['weeds'],1,0,0,1,0,1,1
1622,100283,[],1,0,0,1,0,0,1
1624,100283,"['indoor', '*', 'outdoor', ""21'"", ""15'""]",1,0,1,1,0,6,1
1627,100284,['generator'],0,1,0,1,1,0,0
1633,100285,"['plastic', 'tubing']",0,0,0,1,1,0,0
1634,100285,"['pex', 'tubing']",0,1,0,1,2,0,0
1637,100286,[],1,1,0,1,1,0,0
1640,100286,[],1,0,1,1,0,1,0
1643,100286,[],1,0,1,1,0,1,0
1645,100287,"['hot-dipped', 'galvanized']",1,1,0,1,1,2,0
1647,100287,"['roll', 'lap', 'cemet']",0,1,0,1,2,1,0
1648,100287,"['rdge', 'flashing']",0,1,0,1,1,1,0
1653,100288,"['chalk', 'paint']",0,0,0,1,1,0,0
