id,product_uid,query_root_in_attr,query_compound_in_attr,query_other_in_attr
361,100060,1,0,0
363,100060,1,1,0
365,100060,1,0,0
373,100063,1,1,0
374,100063,1,0,1
375,100063,1,0,1
385,100064,0,0,0
389,100065,0,1,1
397,100065,0,0,0
400,100065,1,1,1
401,100065,1,0,3
402,100065,0,1,2
403,100065,0,3,0
407,100065,1,0,0
408,100065,1,0,0
411,100065,1,0,0
413,100065,0,1,0
418,100065,1,1,0
421,100065,1,1,1
422,100065,1,2,0
440,100068,1,2,0
444,100068,1,2,0
445,100068,1,1,0
446,100068,1,2,1
447,100068,1,2,1
452,100068,1,2,1
454,100068,1,3,0
455,100068,0,3,0
456,100068,1,2,0
458,100068,1,1,1
459,100068,0,2,0
461,100069,0,1,0
468,100070,1,0,0
469,100070,0,0,1
470,100070,0,1,1
473,100070,1,0,0
475,100071,0,0,1
476,100071,1,0,1
478,100071,1,2,0
479,100071,0,2,0
480,100072,1,1,1
481,100072,1,1,0
485,100074,0,0,0
491,100076,0,0,1
492,100077,0,1,1
497,100077,1,1,0
500,100078,1,1,0
501,100079,0,0,1
508,100081,0,1,2
511,100081,0,1,0
516,100082,0,0,0
517,100083,0,0,0
524,100086,0,1,1
533,100086,1,1,0
536,100087,0,0,1
542,100088,1,0,1
544,100089,1,0,0
549,100090,1,1,0
551,100090,1,1,0
557,100090,1,0,1
559,100090,1,0,0
562,100090,1,2,0
563,100090,1,3,0
568,100092,1,0,0
571,100092,1,0,0
572,100092,1,0,1
573,100092,0,0,0
576,100092,1,0,0
581,100093,1,1,1
582,100093,1,2,0
583,100093,1,1,1
584,100093,1,1,1
585,100094,1,1,1
591,100094,0,2,0
593,100094,1,0,2
595,100095,1,1,0
600,100095,1,1,0
605,100096,0,1,0
606,100096,0,0,0
611,100096,0,0,0
619,100097,1,1,2
626,100098,0,1,1
630,100100,1,0,1
634,100101,0,2,0
635,100101,1,1,0
636,100102,1,0,1
637,100102,1,0,0
640,100104,0,1,1
642,100104,1,3,1
643,100104,1,0,0
644,100105,1,2,0
646,100105,1,0,1
652,100105,1,3,1
653,100106,0,0,0
659,100108,0,0,0
660,100109,0,0,0
661,100109,0,0,0
662,100110,0,0,1
663,100110,0,0,0
666,100110,0,1,0
668,100110,1,1,0
669,100110,0,1,0
670,100111,0,1,0
671,100111,0,1,0
674,100112,1,2,1
677,100113,0,0,1
679,100114,0,1,0
680,100115,1,1,3
682,100115,1,0,1
686,100116,1,0,2
687,100116,1,1,1
688,100117,1,0,0
690,100118,1,1,0
691,100119,0,2,1
696,100119,0,1,0
700,100120,1,0,0
712,100124,0,0,0
713,100125,1,1,1
715,100125,1,2,0
718,100125,1,1,0
722,100125,0,2,0
726,100126,1,1,1
731,100127,1,0,0
734,100128,0,0,0
737,100128,1,0,0
739,100128,1,1,0
740,100128,1,1,0
742,100129,1,1,0
743,100129,1,0,0
745,100130,0,1,0
748,100131,1,0,0
749,100131,1,0,0
751,100131,1,0,0
753,100131,0,1,0
756,100132,0,0,0
758,100133,1,0,0
759,100133,0,0,1
760,100133,1,0,1
763,100134,0,2,1
764,100134,0,0,0
765,100134,1,0,0
771,100134,0,2,0
773,100134,0,0,0
778,100135,1,1,0
784,100138,0,1,1
787,100138,1,2,0
790,100138,0,1,0
791,100138,0,1,1
800,100138,1,0,1
801,100138,1,0,1
811,100140,0,1,1
812,100140,0,0,0
817,100141,1,0,0
818,100141,1,0,0
819,100141,0,1,0
824,100141,0,1,0
826,100141,0,0,1
828,100143,1,1,1
831,100143,1,2,0
832,100143,1,1,0
837,100143,0,2,1
843,100144,1,2,0
844,100144,1,2,0
847,100145,1,1,0
852,100146,1,1,0
857,100146,1,2,2
862,100148,0,2,0
867,100149,0,0,1
868,100149,1,1,0
869,100149,0,1,1
872,100149,1,1,2
876,100149,0,0,0
878,100149,1,2,0
881,100149,0,1,1
882,100149,1,2,1
885,100149,1,0,1
886,100149,0,0,2
893,100150,1,0,1
894,100150,0,0,1
895,100150,1,0,1
898,100150,1,0,0
899,100150,1,0,3
902,100151,1,1,0
908,100152,1,1,1
909,100152,0,2,0
910,100152,1,3,0
912,100152,1,0,0
918,100152,1,1,0
922,100153,0,0,0
923,100153,1,0,1
928,100153,0,0,0
929,100154,0,1,1
934,100154,1,1,1
940,100155,1,2,0
944,100157,0,0,0
954,100158,0,3,0
958,100158,0,0,1
962,100158,0,0,0
963,100158,0,0,1
969,100160,0,0,0
974,100161,0,0,0
978,100161,1,1,0
984,100163,1,1,0
991,100165,1,1,0
1000,100165,1,0,0
1001,100166,0,0,0
1004,100166,1,0,1
1007,100167,1,0,1
1008,100167,1,0,1
1019,100170,1,0,0
1020,100170,1,1,0
1022,100170,0,0,1
1026,100170,1,1,0
1028,100171,1,0,0
1031,100172,0,0,1
1038,100173,1,2,0
1040,100174,0,0,0
1051,100176,1,1,0
1053,100177,1,1,1
1056,100178,1,0,0
1060,100179,1,1,1
1062,100179,1,1,1
1065,100180,1,0,0
1068,100180,1,0,0
1072,100181,0,0,0
1073,100181,1,1,0
1074,100181,1,1,0
1076,100182,1,0,0
1080,100184,0,0,0
1081,100184,1,0,0
1083,100184,1,0,0
1084,100184,1,0,0
1086,100184,1,0,1
1090,100185,1,1,0
1095,100188,0,0,0
1097,100189,0,1,0
1098,100189,0,1,0
1101,100189,0,0,0
1103,100189,1,0,2
1104,100189,1,0,0
1107,100189,1,0,0
1108,100189,0,0,0
1116,100191,0,1,0
1121,100193,1,0,3
1128,100193,1,0,0
1129,100193,1,0,0
1132,100193,1,0,1
1134,100193,1,0,2
1135,100193,1,0,1
1138,100194,0,1,0
1142,100194,1,0,0
1145,100194,1,1,0
1146,100194,1,2,0
1148,100194,1,0,0
1151,100194,1,0,2
1155,100195,1,1,0
1159,100196,1,1,1
1164,100196,1,1,0
1165,100197,0,0,0
1168,100197,0,1,0
1171,100197,0,1,0
1172,100197,0,0,0
1176,100197,1,0,1
1177,100197,0,0,0
1180,100200,0,0,0
1185,100201,1,0,0
1191,100203,0,0,2
1192,100203,0,1,1
1195,100203,0,1,0
1196,100203,1,1,0
1205,100208,0,1,0
1206,100208,1,0,0
1208,100209,0,1,1
1212,100209,1,0,0
1215,100209,0,0,0
1216,100209,0,0,1
1218,100210,1,0,0
1220,100210,0,0,0
1224,100211,1,1,0
1227,100212,1,0,1
1228,100213,1,0,1
1230,100213,1,0,1
1231,100213,1,0,1
1237,100216,1,1,0
1238,100216,1,2,0
1243,100217,1,2,0
1248,100218,0,1,0
1252,100218,0,1,0
1253,100218,1,0,1
1257,100218,0,0,0
1266,100221,0,0,0
1267,100222,1,0,0
1273,100224,0,1,0
1275,100224,0,2,0
1276,100224,0,2,0
1279,100225,1,0,0
1287,100227,1,1,0
1289,100227,0,2,0
1291,100227,1,2,0
1296,100228,1,0,0
1300,100229,0,0,0
1302,100229,1,1,0
1303,100230,1,0,0
1316,100232,1,0,1
1317,100232,1,0,2
1320,100232,1,2,0
1323,100233,0,0,0
1326,100235,1,1,0
1335,100237,1,1,0
1338,100237,1,0,1
1340,100237,1,0,0
1344,100239,0,2,0
1345,100239,0,2,0
1347,100239,1,2,0
1348,100239,1,1,0
1349,100239,0,2,0
1355,100241,1,1,0
1356,100241,1,2,0
1357,100241,0,0,1
1359,100242,1,1,0
1364,100245,1,1,1
1366,100246,0,1,0
1377,100248,0,0,0
1387,100248,1,0,0
1388,100248,0,0,1
1394,100249,0,0,0
1395,100249,0,1,0
1397,100249,0,0,2
1399,100249,0,2,2
1401,100249,0,1,0
1403,100249,0,1,1
1405,100250,1,2,0
1408,100251,0,0,1
1414,100252,0,0,0
1419,100253,1,0,0
1422,100254,0,0,1
1427,100255,0,1,0
1431,100256,0,0,0
1433,100256,1,1,0
1434,100256,1,0,1
1436,100256,1,0,0
1439,100257,1,0,0
1443,100257,1,1,0
1444,100257,0,1,0
1449,100259,1,0,0
1453,100259,1,0,1
1454,100259,1,0,1
1458,100260,0,0,1
1468,100263,1,0,0
1471,100263,0,0,1
1472,100263,1,0,0
1473,100263,1,0,0
1479,100264,1,1,0
1481,100264,1,1,3
1483,100264,1,0,0
1486,100264,1,0,2
1487,100264,1,1,0
1490,100264,1,2,0
1491,100264,1,2,0
1492,100264,0,1,0
1496,100264,0,1,1
1497,100264,1,1,1
1501,100264,1,0,1
1504,100265,1,0,0
1506,100265,0,1,0
1509,100265,0,0,0
1512,100265,1,0,1
1528,100267,1,1,1
1538,100269,1,0,0
1542,100270,0,1,0
1546,100270,1,1,0
1548,100272,1,1,0
1554,100272,1,0,0
1560,100272,1,0,1
1561,100272,0,1,0
1562,100272,0,0,0
1568,100272,1,0,2
1569,100272,1,1,2
1571,100272,1,0,0
1572,100273,1,1,0
1576,100274,1,1,0
1577,100274,1,1,0
1578,100274,0,1,2
1587,100277,1,0,0
1588,100277,0,1,0
1593,100279,1,1,0
1595,100280,1,0,0
1609,100282,0,0,0
1610,100282,1,3,0
1612,100282,0,2,0
1616,100282,0,0,0
1617,100282,1,0,0
1622,100283,1,1,0
1624,100283,1,0,1
1627,100284,0,0,0
1633,100285,1,0,0
1634,100285,1,2,0
1637,100286,1,1,0
1640,100286,1,0,0
1643,100286,1,0,2
1645,100287,1,1,0
1647,100287,0,1,0
1648,100287,0,1,0
1653,100288,1,0,0
1654,100289,0,0,0
1655,100289,1,0,4
1656,100289,1,1,1
1657,100289,1,0,1
1661,100290,1,2,0
1664,100292,0,1,0
1667,100292,0,1,1
1669,100293,1,0,0
1670,100294,0,1,1
1671,100294,1,0,1
1672,100294,1,0,1
1673,100294,1,0,0
1675,100294,1,0,2
1677,100294,0,1,1
1681,100295,0,0,0
1691,100297,1,0,1
1692,100297,1,1,0
1696,100297,0,2,0
1702,100299,0,0,0
1703,100299,0,0,0
1704,100299,0,0,0
1705,100299,0,0,0
1713,100299,0,0,0
1715,100299,0,0,0
1721,100302,1,0,0
1722,100303,0,0,0
1724,100304,1,1,0
1726,100304,1,1,0
1731,100306,0,1,0
1733,100306,0,1,0
1738,100306,1,0,0
1740,100306,0,0,0
1741,100306,0,0,0
1742,100306,1,0,0
1746,100307,1,3,1
1749,100307,0,2,2
1753,100307,1,1,1
1762,100307,1,1,0
1765,100308,0,2,0
1771,100310,0,0,0
1774,100311,1,0,1
1777,100312,0,0,0
1779,100313,1,1,0
1780,100313,1,1,0
1782,100313,0,2,0
1784,100314,0,0,0
1785,100314,1,0,0
1786,100315,1,0,1
1790,100315,1,0,2
1797,100316,1,2,1
1804,100317,0,0,3
1805,100317,0,0,3
1811,100320,0,1,2
1815,100320,1,0,2
1816,100320,1,1,0
1818,100320,1,0,0
1821,100321,1,1,0
1824,100321,1,1,1
1829,100322,1,0,0
1830,100323,1,0,1
1835,100323,1,0,0
1841,100326,0,1,0
1844,100326,1,1,0
1845,100326,0,0,0
1846,100326,1,1,0
1847,100327,0,0,0
1848,100327,1,1,0
1851,100327,1,0,0
1852,100328,1,2,0
1853,100328,1,1,1
1855,100328,1,1,0
1858,100329,1,1,0
1861,100329,1,0,0
1862,100330,0,1,1
1867,100331,1,1,0
1868,100331,1,1,0
1870,100331,0,2,0
1872,100332,0,0,0
1875,100334,1,1,0
1881,100335,0,0,2
1883,100335,1,0,0
1894,100337,1,2,1
1896,100337,1,1,0
1899,100337,1,0,0
1907,100339,1,0,0
1914,100341,0,0,0
1915,100342,1,1,0
1918,100342,0,0,1
1920,100342,1,0,1
1921,100343,1,0,1
1922,100343,1,0,1
1923,100343,0,0,1
1924,100343,0,0,1
1927,100343,1,0,3
1931,100343,1,0,1
1933,100343,0,1,1
1939,100344,0,0,0
1941,100345,0,0,0
1943,100345,0,1,0
1956,100349,1,1,0
1959,100350,0,1,1
1961,100350,1,0,0
1963,100351,1,1,0
1964,100351,1,1,1
1966,100351,0,0,1
1967,100352,0,1,0
1970,100352,0,1,0
1977,100354,0,1,0
1979,100354,1,1,0
1982,100354,0,2,0
1983,100354,1,0,2
1987,100355,0,1,0
1989,100356,0,0,0
1994,100356,1,1,0
1998,100357,0,1,1
2000,100357,1,0,1
2001,100357,1,1,4
2002,100357,1,1,1
2003,100357,1,0,0
2006,100357,1,1,1
2008,100357,1,0,3
2011,100358,1,0,1
2013,100358,1,1,0
2019,100359,0,1,0
2021,100359,0,0,0
2022,100359,0,2,1
2023,100359,0,1,1
2024,100359,0,0,0
2025,100360,1,1,0
2029,100361,1,0,0
2037,100364,1,1,0
2039,100365,1,1,0
2041,100365,1,1,0
2042,100365,0,1,0
2047,100367,0,1,0
2050,100368,0,0,0
2052,100368,0,0,0
2056,100368,1,0,0
2060,100368,0,0,0
2062,100370,0,0,0
2064,100370,0,0,0
2065,100370,0,0,0
2066,100370,0,0,0
2070,100370,1,0,0
2073,100370,0,1,1
2074,100370,0,0,0
2081,100373,1,1,0
2082,100373,1,1,0
2083,100373,1,2,0
2085,100374,1,2,0
2086,100374,0,1,0
2088,100374,0,1,1
2089,100374,1,1,0
2095,100375,0,0,0
2097,100376,0,1,1
2098,100376,0,1,2
2103,100378,0,0,0
2106,100378,0,0,0
2107,100378,1,1,0
2109,100379,1,1,1
2113,100380,1,1,0
2115,100380,1,2,0
2117,100380,0,1,0
2118,100380,1,1,0
2126,100381,1,0,0
2130,100383,1,0,1
2133,100383,0,1,1
2136,100383,0,0,1
2137,100383,1,0,0
2139,100384,0,2,1
2146,100384,0,2,0
2148,100384,1,0,0
2149,100385,1,1,0
2151,100385,1,0,0
2153,100386,0,0,1
2154,100386,1,0,0
2157,100386,0,2,0
2158,100387,0,0,0
2160,100388,0,0,0
2163,100388,0,0,0
2166,100388,0,2,0
2167,100388,0,2,0
2169,100388,1,3,0
2173,100388,0,0,1
2176,100388,0,0,0
2181,100390,1,1,2
2182,100390,0,1,1
2188,100390,1,2,1
2189,100390,1,2,1
2190,100390,1,0,2
2201,100393,0,0,0
2204,100393,0,0,0
2206,100393,1,0,0
2210,100395,0,0,1
2211,100395,0,0,1
2218,100395,1,1,0
2222,100397,0,0,1
2224,100397,1,1,0
2226,100398,1,0,1
2237,100399,1,1,0
2242,100401,1,0,1
2245,100401,1,1,0
2248,100403,1,0,0
2251,100403,0,0,0
2257,100405,1,1,2
2258,100405,1,0,3
2259,100405,1,2,0
2270,100407,0,2,0
2273,100407,0,1,0
2275,100407,0,0,0
2277,100407,0,2,0
2279,100408,0,2,0
2281,100408,1,1,0
2283,100408,1,0,1
2284,100409,0,0,4
2288,100409,1,0,0
2291,100409,0,1,0
2292,100409,0,0,0
2293,100409,0,0,1
2297,100409,0,0,0
2298,100409,1,0,0
2299,100409,1,0,0
2300,100409,0,0,0
2303,100409,0,0,0
2306,100409,0,0,0
2310,100409,0,0,2
2312,100409,0,0,1
2315,100409,0,0,1
2321,100410,1,0,2
2323,100410,1,0,0
2325,100410,1,1,0
2326,100410,1,1,1
2328,100410,0,2,0
2333,100410,0,2,0
2334,100410,1,0,0
2339,100410,1,2,0
2346,100411,0,0,0
2351,100412,0,1,0
2359,100413,0,0,1
2365,100414,0,0,0
2369,100415,0,0,0
2374,100417,0,1,0
2375,100417,0,2,1
2381,100417,0,0,0
2385,100418,1,1,0
2393,100418,0,1,0
2398,100420,1,0,1
2403,100423,1,0,0
2409,100423,0,2,0
2410,100423,1,0,0
2413,100423,1,1,1
2416,100423,1,0,1
2420,100424,1,1,1
2421,100425,0,0,0
2423,100425,0,0,0
2424,100425,0,0,0
2426,100425,0,0,0
2433,100427,1,0,0
2435,100427,1,0,0
2439,100428,1,0,0
2442,100428,1,1,0
2443,100428,0,2,0
2448,100429,1,2,0
2449,100429,0,0,0
2451,100429,1,1,0
2453,100429,1,0,0
2455,100429,1,1,0
2456,100429,1,1,1
2461,100430,0,0,0
2462,100430,0,0,0
2464,100430,0,0,0
2465,100430,0,0,0
2466,100430,0,0,0
2468,100431,1,0,0
2470,100431,0,0,0
2471,100431,0,0,1
2474,100431,1,0,1
2475,100431,0,0,1
2478,100433,1,0,0
2484,100434,0,0,0
2485,100435,1,2,0
2489,100436,0,3,0
2490,100437,0,2,0
2500,100440,1,0,0
2502,100441,0,1,2
2507,100442,0,0,0
2513,100444,1,1,1
2514,100444,1,1,0
2515,100444,1,2,0
2516,100445,1,0,1
2534,100446,1,1,1
2535,100446,0,1,2
2538,100446,1,2,0
2539,100446,1,0,2
2540,100447,1,1,0
2545,100448,1,0,1
2551,100448,1,1,0
2555,100450,1,1,1
2556,100450,1,1,0
2562,100451,1,0,2
2571,100455,0,1,0
2575,100457,0,1,0
2578,100457,0,1,0
2581,100458,1,1,0
2582,100458,1,0,0
2585,100458,0,0,0
2592,100459,1,1,0
2598,100461,1,2,3
2604,100461,0,2,0
2605,100461,1,2,0
2608,100461,1,2,1
2616,100461,1,3,0
2617,100461,1,2,0
2621,100461,0,2,1
2622,100462,0,1,0
2626,100462,1,0,1
2627,100462,0,0,1
2628,100462,1,0,2
2636,100463,1,0,3
2642,100464,1,0,0
2643,100464,1,1,0
2654,100466,1,1,0
2657,100466,0,0,0
2660,100466,1,1,0
2662,100466,1,1,1
2666,100468,1,0,0
2669,100468,1,0,0
2670,100468,1,1,1
2671,100468,1,2,0
2672,100468,1,1,1
2673,100468,0,2,0
2675,100468,1,2,0
2677,100468,0,1,0
2680,100468,1,0,1
2685,100468,0,0,3
2686,100468,1,0,0
2688,100468,1,0,0
2691,100468,1,1,0
2695,100469,1,2,0
2696,100469,1,1,0
2697,100470,1,2,0
2698,100470,0,0,1
2700,100470,0,1,0
2704,100471,0,2,0
2708,100471,1,0,1
2709,100472,0,0,2
2710,100472,0,0,1
2712,100472,0,0,1
2715,100474,1,1,0
2725,100477,1,1,1
2728,100477,1,0,0
2729,100477,1,1,0
2733,100478,1,0,2
2735,100478,1,1,0
2736,100478,1,0,1
2737,100478,1,1,0
2741,100479,1,0,1
2744,100479,1,0,0
2750,100480,0,2,0
2752,100480,1,1,1
2755,100480,0,2,0
2758,100481,1,1,1
2768,100483,1,1,1
2777,100485,1,0,0
2782,100486,0,0,1
2784,100487,1,1,0
2785,100487,0,1,1
2786,100487,0,2,0
2787,100487,1,0,1
2791,100488,1,1,0
2796,100489,0,1,2
2798,100489,1,1,0
2800,100489,0,1,1
2802,100489,0,1,2
2808,100490,0,0,0
2816,100492,0,0,0
2818,100492,1,0,0
2820,100492,1,0,1
2823,100494,1,0,2
2826,100496,1,2,0
2831,100497,1,0,0
2833,100498,0,3,1
2834,100498,0,1,1
2835,100498,1,1,0
2836,100498,0,1,0
2838,100499,1,1,0
2839,100499,1,1,0
2841,100499,1,0,0
2845,100500,1,1,1
2846,100500,1,1,0
2847,100501,1,1,0
2853,100502,1,2,0
2855,100502,1,1,0
2859,100503,1,0,1
2861,100505,1,1,0
2865,100506,0,0,0
2866,100506,0,0,0
2867,100506,0,0,0
2869,100506,1,0,0
2870,100507,1,0,0
2871,100508,1,0,2
2872,100508,1,0,0
2874,100508,0,0,1
2875,100508,1,0,1
2876,100508,1,0,1
2880,100509,1,0,1
2882,100509,1,1,0
2883,100510,1,1,0
2885,100510,1,0,0
2887,100510,1,0,0
2892,100510,0,2,0
2894,100510,1,1,1
2895,100511,1,1,0
2896,100512,1,0,0
2897,100512,0,0,0
2898,100512,0,0,1
2899,100513,0,1,0
2901,100514,1,2,0
2902,100515,0,0,0
2905,100517,0,0,2
2909,100517,0,1,0
2912,100518,1,0,0
2914,100519,1,0,1
2915,100519,0,0,1
2918,100519,0,0,1
2920,100519,0,1,1
2921,100520,1,0,0
2924,100521,1,0,2
2932,100521,0,0,0
2935,100521,1,1,1
2943,100522,1,2,2
2944,100522,0,2,1
2949,100522,1,0,1
2958,100523,0,2,0
2964,100523,1,2,0
2966,100524,0,2,0
2968,100524,0,0,0
2971,100525,1,0,0
2973,100525,1,0,0
2974,100525,0,1,2
2975,100525,1,0,1
2976,100525,1,0,0
2980,100525,1,0,3
2984,100526,1,0,0
2987,100526,0,0,0
2990,100526,0,0,1
2991,100526,0,0,0
3002,100526,0,0,0
3004,100526,1,0,0
3008,100526,0,0,1
3010,100526,1,0,0
3012,100526,0,0,1
3013,100526,0,1,0
3017,100527,1,0,0
3021,100527,0,1,0
3026,100528,1,1,1
3029,100529,1,0,0
3030,100529,1,0,1
3032,100531,0,0,0
3036,100532,0,0,0
3039,100532,1,1,0
3044,100533,0,0,0
3050,100536,1,2,2
3055,100536,1,2,0
3056,100536,1,1,0
3066,100536,0,3,0
3067,100536,1,2,0
3069,100536,0,2,1
3070,100537,0,1,0
3076,100538,1,0,0
3078,100538,1,1,0
3079,100538,1,0,1
3082,100538,1,0,0
3086,100539,1,0,0
3089,100539,0,0,1
3092,100539,1,1,2
3096,100540,0,1,1
3098,100540,1,0,1
3101,100540,1,1,0
3104,100540,1,0,0
3105,100540,0,0,0
3114,100544,1,2,0
3115,100544,1,0,0
3116,100544,1,3,0
3121,100545,1,2,0
3126,100546,0,0,0
3127,100546,1,0,0
3128,100546,0,0,0
3134,100549,1,0,0
3135,100550,1,1,0
3136,100550,0,1,1
3138,100551,1,0,0
3139,100552,1,1,0
3140,100552,0,1,0
3143,100552,1,2,0
3144,100552,0,0,1
3147,100552,0,0,0
3151,100553,1,0,2
3159,100554,1,1,1
3161,100554,1,1,1
3163,100554,0,2,0
3165,100554,1,0,1
3170,100556,1,1,0
3171,100557,0,0,0
3172,100557,0,0,1
3179,100557,0,2,0
3181,100557,0,1,0
3187,100558,1,2,0
3190,100559,1,0,0
3192,100560,1,0,0
3194,100561,0,0,1
3199,100562,0,0,3
3200,100562,0,0,0
3202,100562,1,0,0
3211,100564,1,1,0
3213,100565,1,0,2
3214,100565,1,0,1
3215,100565,0,2,0
3223,100565,1,0,0
3225,100566,1,0,0
3227,100567,1,0,1
3229,100567,1,0,0
3231,100569,1,0,1
3232,100569,1,0,1
3235,100570,0,0,0
3238,100570,0,0,1
3241,100571,1,0,0
3246,100572,1,1,1
3249,100572,0,0,2
3250,100572,0,1,1
3254,100572,0,0,0
3256,100573,0,0,1
3260,100573,0,1,0
3268,100574,0,0,0
3270,100574,1,2,0
3272,100575,1,0,0
3274,100576,0,0,1
3276,100576,1,2,0
3281,100578,0,0,0
3285,100580,1,0,0
3288,100581,1,0,1
3292,100581,1,0,0
3295,100581,0,0,0
3301,100581,0,1,0
3304,100582,0,0,4
3309,100582,0,1,0
3311,100582,0,0,0
3312,100582,1,1,0
3314,100582,0,0,0
3315,100582,0,1,3
3322,100585,1,0,0
3323,100586,0,0,0
3327,100587,0,1,1
3328,100587,1,0,0
3330,100587,0,0,0
3331,100587,0,1,0
3333,100588,1,0,0
3338,100590,0,1,0
3341,100590,1,1,1
3342,100590,1,0,0
3344,100591,0,2,0
3346,100591,1,1,0
3348,100592,1,0,0
3354,100593,1,1,0
3356,100593,0,0,1
3359,100593,1,0,0
3360,100593,1,1,0
3366,100594,1,0,0
3369,100596,1,1,0
3374,100596,0,1,0
3388,100599,0,1,1
3389,100599,1,0,2
3391,100599,1,0,0
3392,100599,1,0,0
3397,100600,0,1,0
3400,100600,0,0,1
3403,100600,0,0,3
3406,100601,0,1,0
3407,100601,1,0,1
3410,100601,0,1,1
3411,100601,1,1,0
3412,100601,1,0,0
3414,100601,0,1,1
3416,100602,1,1,0
3417,100603,1,1,1
3418,100603,1,0,1
3422,100603,1,0,1
3430,100605,1,0,0
3440,100606,1,0,2
3443,100606,1,0,3
3446,100606,0,0,0
3447,100606,0,0,1
3449,100606,1,0,2
3453,100606,1,2,0
3457,100607,0,1,0
3460,100608,0,0,2
3470,100609,1,1,0
3471,100609,1,1,1
3473,100610,1,1,0
3475,100610,1,1,0
3477,100611,0,2,0
3479,100611,1,0,0
3485,100612,0,1,2
3486,100612,1,0,1
3487,100612,1,0,2
3488,100612,1,1,4
3490,100612,1,0,2
3491,100612,1,0,0
3494,100612,1,2,1
3496,100612,1,2,0
3499,100613,0,0,1
3506,100615,1,0,1
3507,100615,0,2,0
3509,100615,1,0,0
3513,100616,1,2,0
3515,100616,0,1,0
3516,100616,1,1,2
3517,100616,0,1,0
3520,100618,1,1,0
3521,100618,0,0,0
3522,100618,1,1,0
3523,100619,1,0,2
3535,100619,0,3,0
3536,100619,1,3,0
3540,100619,0,1,0
3541,100619,1,1,0
3543,100620,0,1,1
3552,100622,0,0,0
3553,100622,1,1,0
3558,100623,0,0,2
3561,100624,1,0,2
3564,100624,1,0,0
3570,100624,1,0,0
3576,100624,1,0,0
3578,100625,1,1,0
3579,100625,1,0,0
3580,100625,1,0,0
3583,100625,1,1,0
3584,100625,0,1,0
3590,100626,0,2,0
3591,100627,1,1,0
3597,100628,1,0,0
3604,100628,1,1,0
3606,100628,1,1,1
3610,100629,0,0,1
3611,100629,1,0,0
3612,100629,0,1,0
3614,100629,0,0,0
3615,100629,1,0,0
3616,100629,0,0,0
3618,100629,0,0,1
3624,100632,1,0,3
3625,100632,1,2,0
3627,100632,1,0,0
3629,100632,0,0,3
3632,100633,0,1,0
3635,100633,0,0,0
3636,100633,0,0,0
3638,100634,0,1,0
3639,100635,1,2,0
3640,100635,1,0,0
3641,100635,1,0,2
3643,100635,1,3,2
3647,100635,1,0,1
3651,100636,1,2,0
3657,100637,1,0,0
3658,100637,1,1,0
3661,100638,1,2,0
3665,100639,1,0,2
3669,100640,1,1,1
3675,100640,1,1,1
3678,100642,0,1,0
3680,100642,0,1,0
3683,100644,1,0,0
3685,100645,1,0,0
3690,100646,0,0,0
3692,100647,1,1,0
3695,100649,0,0,0
3699,100650,1,2,0
